Entity,Code,Year,Annual CO2 per capita,GDP per capita,Total CO2,Population
Myanmar,MMR,2018,0.66045374,5838.2173,34783467.24,52666016
Namibia,NAM,2018,1.7271277,9043.12,4154920.02,2405682
Nepal,NPL,2018,0.52034104,2727.4238,14833215.29,28506718
Netherlands,NLD,2018,9.176643,47474.11,158627836.3,17286042
New Zealand,NZL,2018,7.3792152,35336.137,35704539.36,4838528
Nicaragua,NIC,2018,0.7910878,4952.477,5199214.136,6572234
Niger,NER,2018,0.0794017,964.6601,1792656.945,22577060
Nigeria,NGA,2018,0.5304284,5237.662,105230425.7,198387616
North Korea,PRK,2018,1.8577725,1596.3517,47629853.74,25638152
North Macedonia,MKD,2018,3.326816,13074.231,7031215.636,2113497
Norway,NOR,2018,8.356611,84580.13,44393000.1,5312321
Oman,OMN,2018,15.769014,36477.637,72555756.46,4601160
Pakistan,PAK,2018,0.93323416,5510.3965,205060930.6,219731488
Palestine,PSE,2018,0.61577606,5207.757,2959142.029,4805549
Panama,PAN,2018,2.5851011,22637.148,10767613.04,4165258
Paraguay,PRY,2018,1.3204619,9338.948,8508181.017,6443337
Peru,PER,2018,1.7129294,12310.085,55163085.9,32203946
Philippines,PHL,2018,1.3063054,8139.1396,141824051.5,108568832
Poland,POL,2018,8.749628,27455.236,337048480,38521464
Portugal,PRT,2018,5.000966,27035.6,51459104.98,10289833
Puerto Rico,PRI,2018,,35076.293,0,3319269
Qatar,QAT,2018,34.420223,153764.17,95231911.04,2766743
Romania,ROU,2018,4.10655,20126.293,80516214.2,19606778
Russia,RUS,2018,11.674742,24668.908,1700452884,145652288
Rwanda,RWA,2018,0.10224078,1929.2852,1281262.029,12531810
Saint Lucia,LCA,2018,2.8629184,10475.369,509296.0058,177894
Sao Tome and Principe,STP,2018,0.6240786,3730.2046,131904.0047,211358
Saudi Arabia,SAU,2018,17.881912,50304.75,626191154.8,35018132
Senegal,SEN,2018,0.7274772,2617.1245,11330391.92,15574910
Serbia,SRB,2018,5.9619856,14124.118,44320357.6,7433825
Seychelles,SYC,2018,5.8271527,29531.06,600895.9864,103120
Sierra Leone,SLE,2018,0.13190104,1683.8497,1036911.931,7861287
Singapore,SGP,2018,7.91461,68402.34,46019840.17,5814543
Slovakia,SVK,2018,6.628356,27075.535,36102971.53,5446746
Slovenia,SVN,2018,6.898,29244.92,14526712.04,2105931
South Africa,ZAF,2018,7.5905123,12165.795,435237182,57339632
South Korea,KOR,2018,12.968438,37927.61,670168673.7,51676900
Spain,ESP,2018,5.771329,31496.52,270052280.5,46792044
Sri Lanka,LKA,2018,0.97283787,11662.906,20994533.9,21580712
Sweden,SWE,2018,4.142262,45541.89,42094909.12,10162300
Switzerland,CHE,2018,4.3307433,61372.73,36873815.01,8514431
Syria,SYR,2018,1.5636046,3349.4597,30229893.24,19333464
Taiwan,TWN,2018,11.921131,44663.863,282842971.4,23726186
Tajikistan,TJK,2018,0.99782705,4440.382,9108296.028,9128131
Tanzania,TZA,2018,0.20290957,2874.963,11787107.01,58090444
Thailand,THA,2018,3.966176,16648.623,282105405,71127808
Togo,TGO,2018,0.27438483,1451.3608,2207886.924,8046680
Trinidad and Tobago,TTO,2018,26.801153,28549.408,40327882.53,1504707
Tunisia,TUN,2018,2.5137715,11353.887,29996935.86,11933040
Turkey,TUR,2018,5.102916,19270.22,422568922.3,82809304
Turkmenistan,TKM,2018,12.077687,26318.365,73252041.25,6065072
Uganda,UGA,2018,0.13563222,2045.4203,5630825.866,41515400
Ukraine,UKR,2018,5.2123866,9813.363,231674697,44446952
United Arab Emirates,ARE,2018,22.99939,76397.82,210218380.5,9140172
United Kingdom,GBR,2018,5.7159815,38058.086,379729776.1,66432996
United States,USA,2018,16.187923,55334.74,5376657263,332140032
Uruguay,URY,2018,1.9173871,20185.836,6570969.957,3427044
Uzbekistan,UZB,2018,3.5890794,11220.37,116464111.9,32449578
Venezuela,VEN,2018,3.4424012,10709.95,102671860.2,29825652
Vietnam,VNM,2018,2.8891642,6814.142,274223078.5,94914328
Yemen,YEM,2018,0.34017542,2284.89,10474176.03,30790514
Zambia,ZMB,2018,0.4155687,3534.0337,7412040.945,17835898
Zimbabwe,ZWE,2018,0.7836386,1611.4052,11795477.88,15052191
