id,Date,State,Total Confirmed Cases,Total Deaths
568,Tue 1/3,Connecticut,950046,11781
569,Tue 1/3,Delaware,321888,3206
570,Tue 1/3,District of Columbia,173626,1411
571,Tue 1/3,Florida,7269428,83911
572,Tue 1/3,Georgia,2898584,39964
573,Tue 1/3,Guam,61056,412
574,Tue 1/3,Hawaii,363188,1758
575,Tue 1/3,Idaho,511728,5329
576,Tue 1/3,Illinois,3981926,40702
577,Tue 1/3,Indiana,2002760,25364
578,Tue 1/3,Iowa,886411,10424
579,Tue 1/3,Kansas,917091,9859
580,Tue 1/3,Kentucky,1663609,17778
581,Tue 1/3,Louisiana,1514113,18370
582,Tue 1/3,Maine,306648,2811
583,Tue 1/3,Maryland,1319791,16041
584,Tue 1/3,Massachusetts,2154886,22940
585,Tue 1/3,Michigan,2989224,40784
586,Tue 1/3,Minnesota,1736893,14320
587,Tue 1/3,Mississippi,960923,13139
588,Tue 1/3,Missouri,1748910,23304
589,Tue 1/3,Montana,323345,3639
590,Tue 1/3,Nebraska,556865,4843
591,Tue 1/3,Nevada,876118,11880
592,Tue 1/3,New Hampshire,368507,2859
593,Tue 1/3,New Jersey,2938808,35556
594,Tue 1/3,New Mexico,659888,8829
595,Tue 1/3,New York,6582419,77777
596,Tue 1/3,North Carolina,3316814,28789
597,Tue 1/3,North Dakota,280583,2474
598,Tue 1/3,Northern Mariana Islands,13236,41
599,Tue 1/3,Ohio,3307568,41018
600,Tue 1/3,Oklahoma,1250013,16054
601,Tue 1/3,Oregon,939303,8967
602,Tue 1/3,Pennsylvania,3416848,48972
603,Tue 1/3,Puerto Rico,1089570,5547
604,Tue 1/3,Rhode Island,443645,3800
605,Tue 1/3,South Carolina,1770059,19385
606,Tue 1/3,South Dakota,271856,3138
607,Tue 1/3,Tennessee,2349681,28274
608,Tue 1/3,Texas,8111323,92712
609,Tue 1/3,Utah,1075137,5187
610,Tue 1/3,Vermont,148449,791
611,Tue 1/3,Virgin Islands,23769,127
612,Tue 1/3,Virginia,2213867,22809
613,Tue 1/3,Washington,1883676,15093
614,Tue 1/3,West Virginia,626123,7795
615,Tue 1/3,Wisconsin,1963765,15865
616,Tue 1/3,Wyoming,183151,1959
617,Wed 1/4,Alabama,1587224,21263
618,Wed 1/4,Alaska,302138,1408
619,Wed 1/4,American Samoa,8266,34
620,Wed 1/4,Arizona,2384521,32311
621,Wed 1/4,Arkansas,987049,12706
622,Wed 1/4,California,11835660,101177
623,Wed 1/4,Colorado,1737066,13909
624,Wed 1/4,Connecticut,952152,11803
625,Wed 1/4,Delaware,323151,3218
626,Wed 1/4,District of Columbia,173626,1411
627,Wed 1/4,Florida,7269428,83912
