Date,usdbrl,ibov,Volume
2023-07-24,4.777400017,121342,10494800
2023-07-25,4.725500107,122008,11427100
2023-07-26,4.748899937,122560,9988800
2023-07-27,4.736199856,119990,10678700
2023-07-28,4.741600037,120187,8464200
2023-07-31,4.72329998,121943,10122700
2023-08-01,4.724699974,121248,10302800
2023-08-02,4.791999817,120859,10565900
2023-08-03,4.810400009,120586,13027300
2023-08-04,4.916399956,119508,15065200
2023-08-07,4.885399818,119380,8726500
2023-08-08,4.899000168,119090,10246000
2023-08-09,4.898600101,118409,11245600
2023-08-10,4.90170002,118350,12689600
2023-08-11,4.891499996,118065,11867500
2023-08-14,4.910999775,116810,11203500
2023-08-15,4.962100029,116171,14636000
2023-08-16,4.983200073,115592,18862600
2023-08-17,4.986899853,114982,12747500
2023-08-18,4.975500107,115409,10601000
2023-08-21,4.966899872,114429,9794400
2023-08-22,4.978700161,116156,9828500
2023-08-23,4.937099934,118135,11542800
2023-08-24,4.855100155,117026,9196200
2023-08-25,4.880300045,115837,9214100
2023-08-28,4.870399952,117121,9596900
2023-08-29,4.872600079,118404,9631600
2023-08-30,4.851299763,117535,8924000
2023-08-31,4.888400078,115742,12950000
2023-09-01,4.953800201,117893,11890700
2023-09-04,4.976299763,117777,5529700
2023-09-05,4.936200142,117331,10870700
2023-09-06,4.966700077,115985,9916100
2023-09-08,4.976099968,115313,8360700
2023-09-11,4.982999802,116883,8789000
2023-09-12,4.929399967,117968,9192800
2023-09-13,4.94659996,118176,12075300
2023-09-14,4.915400028,119392,13279300
2023-09-15,4.868199825,118758,16107600
2023-09-18,4.867000103,118288,11273100
2023-09-19,4.853700161,117846,11453800
2023-09-20,4.865799904,118695,9238800
2023-09-21,4.878799915,116145,12685800
2023-09-22,4.934899807,116009,9443500
2023-09-25,4.933899879,115925,9580000
2023-09-26,4.968299866,114193,11241800
2023-09-27,4.986199856,114327,13359300
2023-09-28,5.042200089,115731,10387000
2023-09-29,5.032800198,116565,11143200
2023-10-02,5.04279995,115057,8524900
2023-10-03,5.061500072,113419,11104800
2023-10-04,5.16629982,113607,10813800
2023-10-05,5.154600143,113284,9507200
