PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
CoRoT-29 b,0,0.85,0.9,2.85057,0.039,0.082,,,,87.3,,,transit,2015,15/04/07,18 35 36.50,+06 28 46.99,765,0.97,0.9,0.2,5260,4.5
70 Vir b,0,7.4,,116.6926,0.481,0.399,,,,,479.1,,RV,1996,15/04/15,13 28 25.80861,+13 46 43.6386,18.1,1.09,1.94,-0.09,5439,7.77
GSC 06214-00210 b,0,17,,,,,,,,,1700,,imaging,2010,15/06/10,16 21 55,-20 43 07,145,0.9,,,4060,11
Kepler-443 b,0,,0.208,177.6693,0.495,,,,,89.94,,,transit,2015,15/01/28,19 14 26.53,+49 58 07.1,779,0.738,0.706,-0.01,4723,3.2
Kepler-51 b,0,0.0066,0.633,45.154,0.2514,0.04,,,,89.8,,,transit,2012,15/12/12,19 45 55.146,+49 56 15.66,,1.04,0.88,,6018,0.3
Kepler-51 c,0,0.0126,0.803,85.312,0.384,0.014,,,,89.4,,,transit,2012,15/12/12,19 45 55.146,+49 56 15.66,,1.04,0.88,,6018,0.3
Kepler-51 d,0,0.0239,0.865,130.194,0.509,,,,,89.9,,,transit,2014,15/12/12,19 45 55.146,+49 56 15.66,,1.04,0.88,,6018,0.3
Kepler-37 b,0,,0.027,13.367308,0.1003,0.08,,,,88.63,,,transit,2013,15/06/09,18 56 14,+44 31 05,66,0.803,0.77,-0.32,5417,6
Kepler-37 c,0,,0.0662,21.301886,0.1368,0.09,,,,89.07,,,transit,2013,15/06/09,18 56 14,+44 31 05,66,0.803,0.77,-0.32,5417,6
Kepler-37 d,0,,0.181349,39.792187,0.2076,0.15,,,,89.335,,,transit,2013,15/06/09,18 56 14,+44 31 05,66,0.803,0.77,-0.32,5417,6
Kepler-37 e,0,,,51.196,0.2508,,,,,,,,timing,2014,15/03/18,18 56 14,+44 31 05,66,0.803,0.77,-0.32,5417,6
KOI-195 b,0,0.34,1.09,3.21751883,0.0414,,,,,85.74,1300,,transit,2014,14/10/02,19 17 44,+49 28 24,880,0.91,0.92,-0.21,5725,3
Kepler-441 b,0,,0.146,207.2482,0.64,,,,,89.97,,,transit,2015,15/01/28,18 58 16.05,+49 00 45.2,284,0.0572,0.55,-0.57,4340,1.9
Kepler-97 b,0,0.011041,0.134873,2.58664,,,,,,,,,transit,2014,14/02/24,19 09 18,+48 40 24,414.4,0.94,0.98,-0.2,5779,8.42
Kepler-97 c,0,,,,,,,,,,,,RV,2014,14/02/24,19 09 18,+48 40 24,414.4,0.94,0.98,-0.2,5779,8.42
BD+15 2940 b,0,1.11,,137.48,0.539,0.26,302,,,,,,RV,2013,15/11/23,16 00 22.93827,+15 32 48.9291,508,1.1,14.7,0.28,4796,7.1
Kepler-56 b,0,0.0695,0.581,10.51057,0.1028,,,,,83.92,,,transit,2012,15/04/14,19 35 02.01,+41 52 18.7,,1.32,4.22,0.2,4840,3.5
