PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
Kepler-89 c,0,0.04907293,0.39368287,10.423648,0.1013,0.43,,,,88.36,1012,,transit,2012,13/03/15,19 49 19,+41 53 28,426.2,1.28,1.52,0.02,6182,3.16
Kepler-89 d,0,0.33,1,22.342989,0.1684,0.022,,,,89.871,806,,transit,2012,15/12/03,19 49 19,+41 53 28,426.2,1.28,1.52,0.02,6182,3.16
Kepler-89 e,0,0.11009952,0.59781473,54.32031,0.3046,0.019,,,,89.76,584,,transit,2012,13/03/15,19 49 19,+41 53 28,426.2,1.28,1.52,0.02,6182,3.16
HAT-P-43 b,0,0.66,1.283,3.332688,0.0443,0,,,,88.7,1361,,transit,2013,13/01/02,08 35 42,+10 12 24,543,1.048,1.104,0.23,5645,5.7
HD 185269 b,2,0.94,,6.838,0.077,0.3,173,,,,,,RV,2006,16/01/22,19 37 11.74092,+28 29 59.5055,50.28,1.28,1.88,0.11,5980,4.2
HD 80606 b,2,3.94,0.921,111.4273,0.463,0.93369,300.53,,,89.341,339.6,,RV,2001,15/07/21,09 22 37,+50 36 13,58.4,0.98,0.978,0.43,5370,7.63
Kepler-117 c,0,1.84,1.101,50.790391,0.2804,0.0323,,,,89.64,704,,transit,2014,14/11/17,19 15 10.326,+48 02 24.81,1430,1.129,1.606,-0.04,6150,5.3
Kepler-117 b,0,0.094,0.719,18.7959228,0.1445,0.0493,,,,88.74,984,,transit,2014,14/11/17,19 15 10.326,+48 02 24.81,1430,1.129,1.606,-0.04,6150,5.3
KOI-142 b,0,0.0055264,0.37647,10.9542,0.098,0.0561,90.7,6.425,270,0.931,791,,transit,2013,13/04/17,19 24 35,+40 40 09,385,1.022,0.961,0.37,5513,2.45
KOI-142 c,0,0.76,,22.1,0.1529,0.05628,271.1,253,259,3.7,,,timing,2013,13/04/17,19 24 35,+40 40 09,385,1.022,0.961,0.37,5513,2.45
Kepler-438 b,0,,0.1,35.23319,0.166,,,,,89.86,,,transit,2015,15/01/28,18 46 35.00,+41 57 03.9,145,0.544,0.52,0.16,3748,4.4
Gliese 3021 A b,2,3.37,,133.71,0.49,0.511,,,,,,,RV,2000,14/06/24,00 16 12,-79 51 04,17.62,0.9,0.9,0.1,5540,0.8
KOI-830 b,0,1.27,1.08,3.52563254,0.0433,,,,,89.36,1070,,transit,2014,14/10/02,19 22 20,+40 34 39,720,0.87,0.8,0.09,5150,5
HD 30562 b,0,1.373,,1159,2.315,0.778,78.4,,,,208.7,,RV,2009,12/11/29,04 48 36,-05 40 27,26.5,1.23,1.53,0.29,5861,3.6
HD 34445 b,0,0.79,,1049,2.07,0.27,104,,,,,,RV,2010,16/03/09,05 17 40.98051,+07 21 12.0508,46.5,1.07,1.38,0.14,5836,8.5
Kepler-96 b,0,,0.243318,16.2385,,,,,,,,,transit,2014,14/02/24,19 48 17,+40 31 30,128,1,1.02,0.04,5690,2.34
HD 564 b,0,0.33,,492.3,1.2,0.096,314,,,,,,RV,2014,15/11/17,00 09 52.82123,-50 16 04.1606,53.6,0.961,1.01,-0.2,5902,5.5
Kepler-66 b,0,,0.255165,17.815815,0.1352,,,,,,,,transit,2013,13/06/26,19 35 56,+46 41 16,1107,1.038,0.966,0.012,5962,1
Kepler-421 b,0,,0.379102,704.1984,1.219,0.041,160,,,89.965,184,,transit,2014,14/07/21,18 53 01,+45 05 16,320,0.794,0.757,-0.25,5308,4
KOI-183 b,0,0.595,1.192,2.6843285,0.03585,0.019,120.26,,,87.828,1605,,transit,2014,14/09/30,19 31 25,+46 23 28,725,0.85,0.95,-0.1,5560,11
Gliese 777 A b,2,1.495,,2867.9,3.92,0.343,,,,,,,RV,2003,15/06/29,20 03 37.405,+29 53 48.50,15.89,1.04,1.2,0.24,,6.7
Gliese 777 A c,2,0.064,,17.1186,0.128,0.107,,,,,,,RV,2005,15/06/29,20 03 37.405,+29 53 48.50,15.89,1.04,1.2,0.24,,6.7
HD 7449 b,2,1.09,,1270.5,2.33,0.8,-25.2,,,,,,RV,2011,16/02/04,01 14 29.32198,-05 02 50.5942,38.9,1.05,1.01,-0.11,6024,2.1
HD 7449 c,2,2,,4046,4.96,0.53,11,,,,,,RV,2011,16/02/04,01 14 29.32198,-05 02 50.5942,38.9,1.05,1.01,-0.11,6024,2.1
WASP-69 b,0,0.26,1.057,3.8681382,0.04525,,,,,86.71,963,,transit,2011,13/10/22,21 00 06,-05 05 40,50,0.826,0.813,0.15,4715,2
HD 196885 A b,2,2.98,,1326,2.6,0.48,,,,,228.4,,RV,2007,12/12/07,20 39 51,+11 14 58,33,1.33,1.79,0.29,6340,0.5
HAT-P-44 b,0,0.392,1.28,,0.0507,0.072,98,,,89,1126,,transit,2013,13/08/16,14 12 35,+47 00 53,374,0.939,0.979,0.33,5295,8.9
HAT-P-44 c,0,1.6,,219.9,0.699,,,,,,,,transit,2013,13/08/16,14 12 35,+47 00 53,374,0.939,0.979,0.33,5295,8.9
HD 200964 b,0,1.85,,613.8,1.601,0.04,288,,,,,,RV,2010,15/09/23,21 06 39.84239,+03 48 11.2280,68.4,1.44,4.3,-0.15,5164,3
HD 200964 c,0,0.895,,825,1.95,0.181,182.6,,,,,,RV,2010,15/09/23,21 06 39.84239,+03 48 11.2280,68.4,1.44,4.3,-0.15,5164,3
HAT-P-19 b,0,0.292,1.109,4.0087844,0.0466,0.067,256,,,88.89,1010,,transit,2010,15/08/15,00 38 04.012,+34 42 41.56,215,0.842,0.82,0.23,4990,5.5
HD 197037 b,2,0.79,,1035.7,2.07,0.22,298,,,,,,RV,2012,16/01/22,20 39 32.96014,+42 14 54.7845,32.3,1.11,,-0.2,6150,1.9
KELT-7 b,0,1.28,1.533,2.7347749,0.04415,,,,,83.76,2048,,transit,2015,15/01/22,05 13 10.93,+33 19 05.40,129,1.535,1.732,0.139,6789,1.3
TYC 1422-614-1 b,0,2.5,,198.4,0.69,0.06,,,,,,,RV,2014,14/10/22,10 17 06.674,+19 33 30.47,759,1.15,6.85,0.15,4806,9.77
TYC 1422-614-1 c,0,10,,559.3,1.37,0.048,,,,,,,RV,2014,14/10/22,10 17 06.674,+19 33 30.47,759,1.15,6.85,0.15,4806,9.77
HAT-P-7 b,2,1.709,1.4588,2.204737,0.0379,0,,,,83.111,2733,,transit,2008,15/05/24,19 28 59,+47 58 10,320,1.59,2.02,0.32,6310,1.77
Kepler-436 b,0,,0.244,64.00205,0.339,,,,,89.93,,,transit,2015,15/01/28,20 06 52.98,+44 24 43.4,618,0.729,0.697,0.01,4651,3
Kepler-436 c,0,,0.208,16.79713874,,,,,,,,,transit,2016,16/05/10,20 06 52.98,+44 24 43.4,618,0.729,0.697,0.01,4651,3
HD 10647 b,0,0.94,,989.2,2.015,0.15,212,,,,195.9,,RV,2003,12/11/29,01 42 29,-53 44 27,17.3,1.11,1.1,0,6039,1.4
HD 213240 A b,2,4.5,,951,2.03,0.45,,,,,,,RV,2001,12/12/08,22 31 00,-49 25 59,40.75,1.22,1.5,0.16,,3.6
Kepler-103 b,0,,0.307109,15.9654,0.128,0.03,,,,87.8,,,transit,2014,15/06/12,19 15 56.2,+40 03 52,476.8,1.09,1.44,0.07,5845,5.7
Kepler-103 c,0,,0.46841,179.612,0.641,0.02,,,,89.7,,,transit,2014,15/06/12,19 15 56.2,+40 03 52,476.8,1.09,1.44,0.07,5845,5.7
WASP-111 b,0,1.83,1.442,2.310965,0.03914,,,,,81.61,2140,,transit,2014,14/10/14,21 55 04.23,-22 36 45.2,210,1.5,1.85,0.08,6400,2.6
Kepler-74 b,0,0.63,0.96,7.340711,0.0781,0,,,,87.46,,,transit,2012,15/01/27,19 32 22,+41 21 20,1330,1.18,1.12,0.42,6000,0.8
HD 196050 A b,2,2.83,,1316.24,2.47,0.21,,,,,186.7,,RV,2002,12/12/04,20 37 51,-60 38 04,46.93,1.17,1.29,0.23,5874,3.55
HD 40979 A b,2,3.28,,263.1,0.83,0.25,,,,,,,RV,2002,12/12/08,06 04 29,+44 15 37,33.3,1.1,1.21,0.194,,1
PSR 1257+12 A,0,0.0000629,,25.262,0.19,0,0,,,,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,0.000014,,,3
PSR 1257+12 B,0,0.0135,,66.5419,0.36,0.0186,250.4,,,53,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,0.000014,,,3
PSR 1257+12 C,0,0.0123,,98.2114,0.46,0.0252,108.3,,3,47,,,timing,1992,16/04/12,13 00 03.5767,+12 40 56.4721,710,1.4,0.000014,,,3
Kepler-68 b,2,0.026,0.206,5.398763,0.0617,0.02,,,,87.6,1280,,transit,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3
Kepler-68 c,2,0.015,0.085,9.605085,0.09059,,,,,86.93,,,transit,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3
Kepler-68 d,2,0.947,,580,1.4,0.18,,,,,,,RV,2013,15/06/09,19 24 07.7644,+49 02 24.957,135,1.079,1.243,0.12,5793,6.3
HD 216536 b,0,1.47,,148.6,0.609,0.38,270,,,,,,RV,2015,15/01/29,22 53 03.9725,+44 28 39.862,,1.36,12.5,-0.17,4639,3.8
tau Ceti b,0,0.0062914013,,13.965,0.105,0.16,,,,,,,RV,2012,12/12/19,01 44 04,-15 56 15,3.65,0.783,0.798,-0.55,,5.8
tau Ceti c,0,0.009751672,,35.362,0.195,0.03,,,,,,,RV,2012,12/12/19,01 44 04,-15 56 15,3.65,0.783,0.798,-0.55,,5.8
tau Ceti d,0,0.011324522,,94.11,0.374,0.08,,,,,,,RV,2012,12/12/19,01 44 04,-15 56 15,3.65,0.783,0.798,-0.55,,5.8
tau Ceti e,0,0.013526513,,168.12,0.552,0.085,,,,,,,RV,2012,12/12/19,01 44 04,-15 56 15,3.65,0.783,0.798,-0.55,,5.8
tau Ceti f,0,0.020761624,,642,1.35,0.03,,,,,,,RV,2012,12/12/19,01 44 04,-15 56 15,3.65,0.783,0.798,-0.55,,5.8
WASP-32 b,0,3.6,1.19,2.718659,0.0394,0.018,,,,85.3,1427.6,,transit,2010,14/03/20,00 15 51,+01 12 02,,1.1,1.09,-0.13,6100,2.42
HD 52265 b,0,1.05,,119.6,0.5,0.35,,,,,426,,RV,2000,14/06/24,07 00 18,-05 22 01,28.1,1.2,1.25,0.21,6159,3.5
eps Coronae Borealis b,2,6.7,,417.9,1.3,0.11,133.1,,,,,,RV,2012,15/09/22,15 57 35.25147,+26 52 40.3635,67.9,1.7,21,-0.094,4406,1.74
WASP-89 b,0,5.9,1.04,3.3564227,0.0427,0.193,,,,89.4,1120,,transit,2014,14/10/24,20 55 35.99,-18 58 16.1,,0.92,0.88,0.15,4955,1.3
BD-114672 b,0,0.53,,1667,2.28,0.05,231,,,,,,RV,2014,15/11/17,18 33 28.83271,-11 38 09.7315,27.3,0.571,0.52,-0.48,4475,4.4
V830 Tau b,0,1.4,,6,0.065,,,,,55,,,RV,2015,15/10/02,04 33 10.033,+24 33 43.38,131,1,2,,4250,0.0022
HD 95086 b,0,5,,,,,,,,,1000,,imaging,2013,13/10/28,10 57 03,-68 40 02,90.27,1.6,,,,0.017
51 Eri b,2,2,1,15000,14,0.21,90,,75,138,700,,imaging,2015,15/08/14,04 37 36.13234,-02 28 24.7749,29.4,1.75,,-0.027,,0.02
4 UMa b,0,7.1,,269.3,0.87,0.432,23.81,,,,877.3,,RV,2007,15/09/20,08 40 12.81767,+64 19 40.5700,78.5,1.234,18.11,-0.25,4415,4.604
Kepler-412 b,0,0.939,1.325,1.720861232,0.02959,0.0038,125,,,80.89,,,transit,2014,14/01/29,19 04 26,+43 40 51,1056,1.167,1.287,0.27,5750,5.1
WASP-122 b,0,1.372,1.972,1.7100567,0.03107,0,,,,78.35,1960,,transit,2015,15/09/07,07 13 12.34,-42 24 35.1,,1.4,1.567,0.32,5720,5
