us_state,state,capital,year,premium,pop,lat,lon,Region,Division,x
MI,Michigan,Lansing,2023,2352,"10,077,331",42.733635,-84.555328,Midwest,East North Central,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('MI','Michigan','Lansing',2352,10077331,42.733635,-84.555328,'Midwest','East North Central');"
RI,Rhode Island,Providence,2023,1200,"1,097,379",41.830914,-71.414963,Northeast,New England,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('RI','Rhode Island','Providence',1200,1097379,41.830914,-71.414963,'Northeast','New England');"
NV,Nevada,Carson City,2023,1164,"3,104,614",39.163914,-119.76612,West,Mountain,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('NV','Nevada','Carson City',1164,3104614,39.163914,-119.76612,'West','Mountain');"
FL,Florida,Tallahassee,2023,1092,"21,538,187",30.438118,-84.281296,South,South Atlantic,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('FL','Florida','Tallahassee',1092,21538187,30.438118,-84.281296,'South','South Atlantic');"
NJ,New Jersey,Trenton,2023,1032,"9,288,994",40.220596,-74.769913,Northeast,Middle Atlantic,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('NJ','New Jersey','Trenton',1032,9288994,40.220596,-74.769913,'Northeast','Middle Atlantic');"
DE,Delaware,Dover,2023,1008,"989,948",39.157307,-75.519722,South,South Atlantic,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('DE','Delaware','Dover',1008,989948,39.157307,-75.519722,'South','South Atlantic');"
CT,Connecticut,Hartford,2023,960,"3,605,944",41.764046,-72.682198,Northeast,New England,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('CT','Connecticut','Hartford',960,3605944,41.764046,-72.682198,'Northeast','New England');"
OR,Oregon,Salem,2023,948,"4,237,256",44.938461,-123.0304,West,Pacific,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('OR','Oregon','Salem',948,4237256,44.938461,-123.0304,'West','Pacific');"
NY,New York,Albany,2023,924,"20,201,249",42.652843,-73.757874,Northeast,Middle Atlantic,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('NY','New York','Albany',924,20201249,42.652843,-73.757874,'Northeast','Middle Atlantic');"
MD,Maryland,Annapolis,2023,900,"6,177,224",38.978764,-76.490936,South,South Atlantic,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('MD','Maryland','Annapolis',900,6177224,38.978764,-76.490936,'South','South Atlantic');"
KY,Kentucky,Frankfort,2023,876,"4,505,836",38.186722,-84.875374,South,East South Central,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('KY','Kentucky','Frankfort',876,4505836,38.186722,-84.875374,'South','East South Central');"
LA,Louisiana,Baton Rouge,2023,876,"4,657,757",30.457069,-91.187393,South,West South Central,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('LA','Louisiana','Baton Rouge',876,4657757,30.457069,-91.187393,'South','West South Central');"
UT,Utah,Salt Lake City,2023,792,"3,271,616",40.777477,-111.88824,West,Mountain,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('UT','Utah','Salt Lake City',792,3271616,40.777477,-111.88824,'West','Mountain');"
AZ,Arizona,Phoenix,2023,768,"7,151,502",33.448143,-112.09696,West,Mountain,"insert into frosty_sample.cybersyn_financial.auto_insurance_premiums_2023 (us_state,state,capital,premium,pop,lat,lon,Region,Division) values ('AZ','Arizona','Phoenix',768,7151502,33.448143,-112.09696,'West','Mountain');"
